Tag, Datum, Mannschaft, Anpfiff, Dauer, Status, Details
Samstag, 26. September, MA VL, 10:00, 09:30-14:00, fix & im Kalender, V22-V25; Freiburg; TSG HD; TSG Heilbronn
Sonntag,27. September, 2. Herren 4. VL,11:00,10:30-13:00, fix & im Kalender, V13 SG CadE/TSV Ludwigsburg
Sonntag,27. September, 1. Herren OL, 14:00,13:30-16:00, fix & im Kalender, V28 SSV Ulm
Sonntag, 4. Oktober, 1. Herren OL, 11:00, 10:30 - 12:00, fix & im Kalender, HC Ludwigsburg II; Spiel 30
Samstag,10. Oktober, MB VL, 10:00, 09:30 -14:00, fix & im Kalender, V32-V35; Ludwigsburg II & III; Lahr - Telefon mit Daniel
Samstag,10. Oktober, WJB VL, 15:00, 14:30-19:00, fix & im Kalender, V19-V21; Merzhausen & Weinheim
Sonntag,11. Oktober, Damen 1. VL, 10:00, 09:30-12:00, fix & im Kalender, V25; TSV Ludwigsburg
Samstag,17. Oktober, WJA,14:00,13:00-17:00, fix & im Kalender, Kleinfeldrunde
Sonntag,18. Oktober, MJB, 11:00, 10:30 - 18:00, fix & im Kalender, V21-V24; FR-Merzhausen; Villingen; Ulm; ggf. noch Einzelspiel gegen FR-Merzhausen im Anschluss & Ulm vs VS

