Tag, Datum, Spielnummer, Mannschaft, Anpfiff, Dauer, Status, Details
Sonntag, 26. April, V3, VL MJB, 10:00, 09:30-12:00, nachgefragt 17.2, TSV Mannheim Hockey II				
Sonntag,03. Mai, V26, VL WJB,10:30,10:00-12:30, fix, Merzhausen
Samstag,09. Mai, V5, VL MA,11:00, 10:30-?, offen,	FT 1844 Freiburg 				
Sonntag,10. Mai, V28, VL WJB,13:00,12:30-15:00, nachgefragt, TSG Heidelberg II				
Samstag,16. Mai, V7, VL MA, 10:00, 09:30-?, offen, HC TSG  Heilbronn	
Samstag,20. Juni, V34, VL WJB,100:00,09:30-12:00, offen, AC Weinheim				
Samstag, 4. Juli, V98, VL MB, 10:00, 9:30-11:30, fix, AC Weinheim
Samstag, 4. Juli, V18, VL MJB, 12:00, 11:30-14:00, fix via Slack direkt, Mannheimer HC II				
Samstag,25. Juli, V21, VL MJB, 10:00, 09:30-12:00, nachgefragt 17.2, HC Heidelberg
Samstag, 19. September, V108-V111, VL MB, 10:00, 9:30-14:00, nachgefragt - Zusage MHC, MHC & TSG HD
