Tag, Datum, Mannschaft, Anpfiff, Dauer, Status, Details
?,?,kb,,,Für Doppelspiel b59/87 nachgefragt, Gernsbach
Samstag,06. Apr, , , , ,
Sonntag,07. Apr, , , , ,
Samstag,13. Apr, , , , ,
Sonntag,14. Apr, , , , ,
Samstag,27. Apr, , , , ,
Sonntag,28. Apr, , , , ,
Samstag,04. Mai, mb, , , Ausweichtermin an Staffelleiter gemeldet, 4 Spiele
Sonntag,05. Mai, wjb, ? , ?  , Verschiebung an Staffelleiter gemeldet , Mannheimer HC II
Sonntag,05. Mai, mjb,16:00, ?,Vorschlag gesendet per email - 3.3. 2019, SG Weinheim/MHC
Sonntag,05. Mai, mb, ?, ?, 2te email-runde - 4.3.2019, 4 Spiele
Samstag,11. Mai,ma ,10:00 ,9:30-12:00 , Vorschlag gesendet per email - 3.3. 2019, Ludwigsburg III
Sonntag,12. Mai, kb, , ,"Konflikt mit den Herren, doodle https://doodle.com/poll/i56hx7ui7rkhpfva ", 4 Spiele
Samstag,18. Mai, ma,16:00, ,Vorschlag gesendet per email - 3.3. 2019, TSV Mannheim 2
Samstag,18. Mai,mc / kc blocker,10:00,?,?,
Sonntag,19. Mai, wjb, 16:00 , 15:30 - 18:00, Fix: Staffellleiter informiert, Mannheimer HC II
Samstag,25. Mai,md / kd blocker,10:00, ,?,16:00 Anpiff Herren
Sonntag,26. Mai,Herren,11:00,,,
Sonntag,26. Mai, wjb, 13:30 , ?  , Vorschlag gesendet per email - 4.3. 2019 , HC Heidelberg II
Sonntag,26. Mai, mjb, ?, ?, , TSV Mannheim 2
Samstag,01. Jun, , , , ,
Sonntag,02. Jun, , , , ,
Samstag,06. Jul, wjb, 15:00 , ,Vorschlag gesendet per email - 5.3. 2019, HC im TSG Heilbronn 
Samstag,06. Jul, mb, 10:00, ,Vorschlag gesendet per email - 5.3. 2019 , 4 Spiele
Samstag,06. Jul, kb, umgelegt, ?, , findet in Gernsbach statt - vom Staffelleiter per email am 4.3.2019
Sonntag,07. Jul, ma,15:00,14:30-17:00,Fix: Staffellleiter informiert, FT 1844 Freiburg
Sonntag,07. Jul,mc / kc blocker,10:00,?,?,
Samstag,13. Jul, wjb,10:00, ?  ,Fix: Staffelleiter informiert, Club an der Enz
Sonntag,14. Jul,md / kd blocker,10:00,?,?,
Samstag,20. Jul, mjb ,10:00, ,Vorschlag gesendet per email - 3.3. 2019, Bietigheimer HTC
Sonntag,21. Jul,mc / kc blocker,10:00,?,?,
Samstag,27. Jul, , , , ,
Sonntag,28. Jul, , , , ,
Samstag,14. Sep, , , , ,
Sonntag,15. Sep, ma ,10:00, ,Vorschlag gesendet per email - 3.3. 2019, AC Weinheim
Samstag,21. Sep, mjb, , , , ??? Unklar ob bei uns oder auswärts
Samstag,21. Sep, wjb, , , , ??? Unklar ob bei uns oder auswärts
Sonntag,22. Sep, mjb , , , ,  ??? Unklar ob bei uns oder auswärts
Sonntag,22. Sep, wjb, , , ,  ??? Unklar ob bei uns oder auswärts
Samstag,28. Sep, ma, , , , ??? Unklar ob bei uns oder auswärts - Halbfinale: nur 1 Spiel
Samstag,28. Sep,md / kd blocker,10:00,?,?,
Sonntag,29. Sep, ma, , , , ??? Unklar ob bei uns oder auswärts - Finalrunde
Samstag,05. Okt,mc / kc blocker,10:00,?,?,
Sonntag,06. Okt,md / kd blocker,10:00,?,?,
Sonntag,13. Okt, kb, , , , ??? Unklar ob bei uns oder auswärts - Finalrunde
Sonntag,13. Okt, mb, , , , ??? Unklar ob bei uns oder auswärts - Finalrunde
